id	author name	title catalog	vols	pub date	pub location
260745		An interesting account of the voyages and travels of Captains Lewis and Clarke, in the years 1804-5, & 6 : giving a faithful description of the river Missouri and its source--of the various tribes of Indians through which they passed--manners and customs--soil--climate--commerce--gold and silver mines--animal and vegetable productions : interspersed with very entertaining anecdotes ... : to which is added a complete dictionary of the Indian tongue / by William Fisher, Esq.	1	1813	Baltimore
260747	West	Alicia de Lacy : an historical romance / by the author of ""The loyalists,"" &c."	4	1814	London
260748	Helme, Elizabeth	Instructive rambles in London and the adjacent villages : Designed to amuse the mind and improve the understanding of youth / by Elizabeth Helme.	1	1811	London
260749	Swift, Jonathan	The works of Jonathan Swift D. D., Dean of St. patrick\\\'s, Dublin : containing additional letters, tracts, and poems, not hitherto published / with notes, and a life of the author, by Sir Walter Scott, bart.	19	1814	Edinburgh
260750	Swift, Jonathan	The works of Jonathan Swift D. D., Dean of St. patrick\\\'s, Dublin : containing additional letters, tracts, and poems, not hitherto published / with notes, and a life of the author, by Sir Walter Scott, bart.	19	1814	Edinburgh
260751	Louis Bonaparte	Maria; or, The Hollanders / by Louis Bonaparte.	3	1815	London
260752	Wall, Anton	Amatonda : a tale from the German of Anton Wall.	1	1811	London
260753		A short account of the courtship of Alonzo & Melissa : setting forth their hardships and difficulties, caused by the barbarity of an unfeeling father / by Daniel Jackson, Jun.	1	1811	Plattsburgh [NY]
260754		The Asylum, or, Alonzo and Melissa : an American tale, founded on fact / by I. Mitchell.	2	1811	Poughkeepsie [N.Y.] :
260755	Foster, Hannah Webster	The coquette, or, The history of Eliza Wharton : a novel, founded on fact / by a lady of Massachusetts.	1	1811	Newburyport:
260756	Irving, Washington	Salmagundi : or, The whim-whams and opinions of Launcelot Langstaff, esq. and others ....	2	1811	London
260757	Parker, Emma	Elfrida, heiress of Belgrove : a novel. / By Emma Parker.	4	1811	London
260758	Rose, Edward H	The sea-devil; or, Son of a bellows-mender : a tragi-comic romance of the present day. In two volumes. / By Edward Rose, seaman.	2	1811	Plymouth Dock
260759	Klopstock, Friedrich Gottlieb	The Messiah / from the German of Klopstock. The first sixteen books by Mrs. Collyer, and the three last by Mrs. Meeke. To which is prefixed, An introduction on divine poetry. In two volumes.	2	1811	London
260760	Nares, Edward	Thinks-I-to-myself : a serio-ludicro, tragico-comico tale / written by Thinks-I-to-Myself, Who?	2	1811	London
260761	Nares, Edward	Thinks-I-to-myself : a serio-ludicro, tragico-comico tale / written by Thinks-I-to-Myself, Who?	2	1811	London
260762	West	The refusal. By the author of the ""Tale of the times,"" ""Infidel father,"" &c."	3	1810	London
260763	Swift, Jonathan	A tale of a tub : written for the universal improvement of mankind : To which is added an account of a battle between the ancient and modern books in St. James Library : with the author\\\'s apology, and explanatory notes / by W. Wotton, B.D. and others.	1	1811	London
260764	Fowler, George	The wandering philanthropist; or, Lettres [sic] from a Chinese. Written during his residence in the United States. Discovered and edited by George Fowler.	1	1810	Philadelphia
260765		Dame Partlet\\\'s farm : containing an account of the great riches she obtained by industry, the good life she led, and alas good reader! her sudden death : to which is added, a hymn, written by Dame Partlett, just before her death, and an epitaph for her tomb stone.	1	1810	Philadelphia
260766		Rosa; or, American genius and education.	1	1810	New York
