id	title	author	date	a	b	v	x
ocm31393385 	The Letters of a solitary wanderer: containing narratives of various description. By Charlotte Smith. Vol. I.	Smith, Charlotte	1800	['Pencil']	['Words']	['v.4']	['This vol. was issued without a half-title, but the other 4 vols each have one.', 'Located on front free endpaper.']
ocm07071452 	The republican's mistress; a novel founded upon facts. By Charlotte Smith.	Smith, Charlotte	1821	['Pencil']	['Numbers']	['v.2']	['On inner margin of pg.33 there is a seris of calculations.']
ocm00965816 	Tales of terror; with an introductory dialogue.		1801	['Ink']	['Words']		['Manuscript of the poem The Worm King appears on verso of final page.', 'Who is it that casts so terrific a frown[...]']
ocm00742172 	Tales of wonder; written and collected by M. G. Lewis, Esq. M.P. author of the monk, castle spectre, love of gain, &c. In two volumes.	Lewis, M. G	1801	['Ink']	['Numbers']	['v.1']	['Located on table of contents : 195399.']
ocm13379341 	The vallies; or, scenes and thoughts from secluded life.	Tempest, Basil	1827	['Pencil']	['Words']	['v.1']	['Located on verso front free endpaper : 2 vols 2 . 00 pounds By Basil Tempest']
ocm09930143 	The life of Pill Garlick; rather a whimsical sort of fellow.	Temple, Edmond	1813	['Pencil']	['Words']		['Pg. 223, indecipherable']
ocn187451781	The Rockite, an Irish story. By Charlotte Elizabeth, author of Osric, The system, Consistency, &c. &c.	Charlotte Elizabeth	1829	['Pencil']	['Words']		['Collated 9/6/62']
ocm70516068 	Characters at Brighton. A novel. In four volumes. By Anne Trelawney, author of the offspring of mortimer, &c. &c.	Trelawney, Anne	1808	['Pencil']	['Words', 'Numbers']	['v.1']	['Located on front free endpaper : 4 vols 3 pounds 105']
ocm10377134 	The vagabond. A novel. By George Walker.&#xA0;Dedicated to the Lord Bishop of Landaff. First American, from the fourth English edition, with notes.	Walker, George	1800	['Pencil']	['Words']		['Located on verso rear free endpaper : Philadelphia']
ocm01180901 	Cottage on the cliff,&#xA0;a sea side story, by Catherine G. Ward, authoress of the mysterious marriage; family portraits; rose of Claremont: poems &c. &c.	Ward, Catherine G	1823	['Pencil']	['Numbers', 'Words']		['Located on front free endpaper', 'Transcription : 53/ N Novel']
ocm78001274 	The daughter of St. Omar. A novel. In two volumes. by Catharine G. Ward.	Ward, Catherine G	1810	['Pencil']	['Words', 'Numbers']	['v.1']	['Marginalia is illegible', 'Located on front paste-down endpaper']
ocn187453083	The fisher's daughter. Or the wanderings of Wolf, and the fortunes of Alfred, being the sequel to that highly popular and admired work The Cottage on the Cliff. By Mrs. Catherine G. Ward. Authoress of the Mysterious Marriage, Family Portraits, Orphan Boy, Cottage on the Cliff, Poems, &c.	Ward, Catherine G	1824	['Pencil']	['Words']		['Rear paste-down endpaper reads : 4/69 N/M/- Front engr title x 10pl']
ocm22774772 	The forest girl, or the mountain hut: an original and interesting tale by Catherine G. Ward. Authoress of The mysterious marriage, Cottage on the cliff, The fisher's daughter, The thorn, &c. &c.	Ward, Catherine G	1826	['Pencil']	['Words']		['Located on front paste-down endpaper : whole novel', 'The first two letters of whole have been partially erased']
ocm21618027 	The advantages of education; or the history of Maria Williams. A tale for very young ladies. In two volumes. By the author of A gossip's story, A tale of the times, &c.	West, Jane	1803	['Pencil']	['Words']		['Located on recto of front free endpaper : [by Mrs. Jane West] 2 vols. in 1.']
ocm59222208 	The woman of genius. In three volumes.		1821	['Pencil']	['Numbers']	['v.1']	['Verso of last rear free endpaper : 107']
ocm43388336 	The Swiss family Robinson; or, adventures of a father and mother and four sons in a desert island: the genuine progress of the story forming a clear illustration of the first principles of natural history, and many branches of science which most immediately apply to the business of life. To which are added, notes of reference, explanatory of the subjects treated of. With plates, and a map of the island. Fifth edition.	Wyss, Johann David	1824	['Pencil']	['Drawings']		['Circles located on verso of rear free endpaper..']
429311	The blossoms of morality; intended for the amusement and instruction of young ladies and gentlemen. By the editor of The looking-glass for the mind. With forty-seven cuts, designed and engraved by I. Bewick. The fifth edition.	Johnson, R.	1810	['Pencil']	['Numbers']		['Located on the page across from the front pastedown.']
436163	The Irish emigrant. An historical tale founded on fact, by an Hibernian. Vol. I.		1817	['Pencil']	['Words']	['v.1']	['"George R" - located on top of the page containing copyright information.']
437873	The spirit of "the book;" or, memoirs of Caroline, Princess of Hasburgh, a political and amatory romance. In one volume. Edited by Thomas Ashe, Esq. First American from the third London edition.	Ashe, Thomas	1812	['Pencil']	['Words']		['Curly braces enclosing passage on "how to obtain a good husband, or to keep one good," pages 217-219.']
438976	Paul's letters to his kinsfolk. Second edition.	Scott, Walter	1816	['Pencil']	['Words']		['Front pastedown. "By Sir Walter Scott."']
