pub date	author name	title catalog
1706	"Gildon, Charles,"	"The post-boy robb\'d of his mail, or, The pacquet broke open : consisting of letters of love and gallantry, and all miscellaneous subjects : in which are discover\'d the vertues, vices, follies, humours and intrigues of mankind : with remarks on each letter : both volumes in one."
1708	Person of quality.	The secret history of the most renowned Q. Elizabeth and the E. of Essex / by a person of quality.
1708	"Rabelais, Francois,"	"Pantagruel\'s voyage to the Oracle of the Bottle / Being the fourth and fifth books of the works of Francis Rabelais, M.D. ;  With the Pantagruelian prognostication, and other pieces in verse and prose by that author ; also his historical letters ; Compleating all his works that are extant ; Never before printed in English ; Done out of French by Mr. Motteux ; With explanatory remarks on every chapter, by the same hand."
1708	"Le Sage, Alain ReneÌÅ,"	"Le diable boiteux, or, The devil upon two sticks / translated from the last edition at Paris, with several additions."
1708	"Aulnoy,"	"The history of the Earl of Warwick, sirnam\'d the King-maker: containing his amours, and other memorable transactions. By the author of the Memoirs of the English court. To which is added, The remaining part of the unknown lady\'s pacquet of letters, taken from her by a French privateer in her passage to Holland, suppos\'d to be written by several persons of quality: brought over from St. Maloes by an English officer, at the last exchange of prisoners."
1709	"Manley,"	"Secret memoirs and manners of several persons of quality, of both sexes : From the New Atalantis, an island in the Mediteranean : Written originally in Italian."
1709	"Ward, Edward,"	The fourth volume of the writings of the author of the London-spy : prose and verse.
1709	"Quevedo, Francisco de,"	"The comical works of Don Francisco de Quevedo, author of the Visions:  translated from the Spanish."
1710		"The Secret history of Arlus and Odolphus, ministers of State to the Empress of Grandinsula : in which are discover\'d the labour\'d artifices formerly us\'d for the removal of Arlus, and the true causes of his late restoration, upon the dismission of Odolphus and the Quinquinvirate : humbly offer\'d to those good people of Grandinsula, who have not yet done wond\'ring why that Princess wou\'d change so notable a ministry."
1710		"The Secret history of Arlus and Odolphus, ministers of state to the Empress of Grandinsula : in which are discover\'d the labour\'d artifices formerly us\'d for the removal of Arlus, and the true causes of his late restoration, upon the dismission of Odolphus and the Quinquinvirate : humbly offer\'d to those good people of Grandinsula, who have not yet done wond\'ring why that Princess wou\'d change so notable a ministry."
1710	"Manley,"	"Memoirs of Europe, towards the close of the eighth century / written by Eginardus ... and done into English by the translator of The new Atalantis."
1710		"The Impartial secret history of Arlus, Fortunatus, and Odolphus, ministers of state to the Empress of Grand-Insula : in which are discover\'d, the true and just causes of the removal of Arlus, who by his t-------s ad-----------n, rather deserv\'d H----n\'s Pun------t, than Mordecai\'s preferment : and justice is done to the character of Fortunatus and Odolphus, and they prov\'d to have discharg\'d their trusts with equal honour, honesty, and success : humbly offer\'d to those good people of Grand-Insula who love their country, are not bigoted to a party, and blinded by the fulsom flatteries bestow\'d on Arlus by a gang of mercenaries."
