id	pub date	author name	title catalog
260697	1746	Arbuthnot, Archibald.	The life, adventures, and many and great vicissitudes of fortune of Simon, Lord Lovat, the head of the family of Frasers : from his birth at Beaufort, near Inverness, in the highlands of Scotland, in 1668, to the time of his being taken by Capt. Millar, after three days search, in a hollow tree, on the coasts of Knoidart and Arisaig / by the Rev. Archibald Arbuthnot ...
260698	1744		The Lady\'s drawing room : being a faithfull picture of the great world : in which the various humours of both sexes are display\'d, drawn from the life and interspers\'d with entertaining and affecting novels.
260699	1747	Fielding, Sarah	Familiar letters between the characters in David Simple, and some others : to which is added, A vision / by the author of David Simple ; in two volumes.
260700	1748	Richardson, Samuel,	Clarissa, or, The history of a young lady : comprehending the most important concerns of private life : and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage / published by the editor of Pamela.
260701	1748	Richardson, Samuel,	Clarissa, or, The history of a young lady : comprehending the most important concerns of private life : and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage / published by the editor of Pamela.
260702	1746	Haywood, Eliza Fowler	Secret histories, novels, and poems : in four volumes / written by Mrs. Eliza Haywood.
260703	1748	Haywood, Eliza Fowler	Life\'s progress through the passions, or, The adventures of Natura / By the author of The fortunate foundlings.
260704	1748	Haywood, Eliza Fowler	Life\'s progress through the passions, or, The adventures of Natura / By the author of The fortunate foundlings.
260705	1748		The Unfortunate concubines : the history of Fair Rosamond, mistress to Henry II, and Jane Shore, concubine to Edward IV, Kings of England : shewing how they came to be so : with their lives, remarkable actions, and unhappy ends / extracted from eminent records, and the whole illustrated with cuts suitable to each subject.
260706	1749	Fielding, Henry	The history of Tom Jones, a foundling : in six volumes / By Henry Fielding, Esq.
260707	1749	Fielding, Henry	The history of Tom Jones, a foundling : in six volumes. By Henry Fielding, Esq.
260708	1749	Fielding, Henry	The history of Tom Jones, a foundling : in six volumes / By Henry Fielding, Esq.
260709	1749	Fielding, Sarah	The governess : or, Little female academy. Being the history of Mrs. Teachum, and her nine girls : with their nine days amusement : calculated for the entertainment and instruction of young ladies in their education / by the author of David Simple.
260710	1749		Dalinda, or The double marriage : being the genuine history of a very recent and interesting adventure : addressed to all the young and gay of both sexes.
260711	1749		The History of the human heart, or The adventures of a young gentleman.
260712	1744	Fielding, Sarah	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady ; in two volumes.
260713	1744	Fielding, Sarah	The adventures of David Simple : containing an account of his travels through the cities of London and Westminster, in the search of a real friend / by a lady ; in two volumes.
260715	1743	Fielding, Henry	Miscellanies / by Henry Fielding, Esq. : in three volumes.
260716	1811	Hamilton, Elizabeth,	Translation of the letters of a Hindoo rajah; written previous to, and during the period of his residence in England. To which is prefixed, a preliminary dissertation on the history, religion, and manners, of the Hindoos. By Elizabeth Hamilton.
260717	1749		The History of Charlotte Summers, the fortunate parish girl ... : in two volumes.
260719	1741	Prévost, abbé,	The history of a fair Greek : who was taken out of a seraglio at Constantinople, and brought to Paris by a late embassador at the Ottoman port : interspersed with the surprising adventures of several other slaves / by Abbot Provost ...
260720	1743	Fielding, Henry	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams : written in imitation of the manner of Cervantes, author of Don Quixote / by Henry Fielding, Esquire ... : in two volumes.
260721	1742	Fielding, Henry	The history of the adventures of Joseph Andrews, and of his friend Mr. Abraham Adams : written in the manner of Cervantes, author of Don Quixote : in two volumes.
260722	1740		The Life and adventures of Mrs. Christian Davies, commonly called Mother Ross : who, in several campaigns under King William and the late Duke of Marlborough, in the quality of a foot soldier and dragoon, gave many signal proofs of an unparallelled courage and personal bravery : taken from her own mouth when a pensioner of Chelsea Hospital, and known to be true by many who were engaged in those great scenes of action.
260723	1816	Jenner, J.,	Melmoth House : a novel : in three volumes / by Mrs. J. Jenner.
260724	1740	Campbell, John,	The polite correspondence, or, Rational amusement : being a series of letters, philosophical, poetical, historical, critical, amorous, moral, and satyrical : wherein are introduc\'d a great variety of instructive and delightful incidents, both in prose and verse ...
260725	1814	Dow, Lorenzo,	History of Cosmopolite, or The four volumes of Lorenzo\'s journal, concentrated in one : containing his experience and travels, from childhood to 1814, being upwards of thirty-six years.
260726	1811	Klopstock, Friedrich Gottlieb,	The messiah / attempted from the German of Mr. Klopstock, by Mr. Collyer ...
260727	1811	Klopstock, Friedrich Gottlieb,	The Messiah / from the German of Klopstock. The first sixteen books by Mrs. Collyer, and the three last by Mrs. Meeke. To which is prefixed, An introduction on divine poetry. In two volumes.
260728	1819	Waln, Robert,	The hermit in America on a visit to Philadelphia : containing some account of the human leeches, belles, beaux, coquettes, dandies, cotillion parties, supper parties, tea parties, &c. &c. of that famous city, and the poets and painters of America / edited by Peter Atall, Esq.
260729	1817	Smollett, Tobias George,	The adventures of Ferdinand, count Fathom, by Dr. Smollett.
260730	1814	Helme, Elizabeth	Instructive rambles in London, and the adjacent villages. Designed to amuse the mind, and improve the understanding of youth. By Elizabeth Helm.
260731	1810	More, Hannah,	Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals.
260732	1818	Hogg, James,	The brownie of Bodsbeck, and other tales / by James Hogg ...
260733	1816	Graves, Richard,	The spiritual Quixote, or, The summer\'s ramble of Mr. Geoffry Wildgoose. A comic romance. To which is prefixed the life of the author.
260734	1811	Williams, John,	The captivity and deliverance of Mr. John Williams, pastor of the church in Deerfield, and Mrs. Mary Rowlandson, of Lancaster, who were taken, together with their families and neighbors, by the French and Indians, and carried into Canada. Written by themselves.
260735	1811	Brunton, Mary,	Self-control: a novel.
260736	1810	Byron, Medora Gordon.	The alderman and the peer, or, The ancient castle & modern villa : in three volumes / by Miss Byron.
260737	1819		The Englishman in Paris : a satirical novel : With sketches of   the most memorable characters that have recently visited that celebrated        capital ... In three volumes.
260738	1819	Byron, Medora Gordon.	Celia in search of a husband / By a modern antique.
260740	1814	Brunton, Mary,	Discipline: a novel. By the author of Self-Control.
260741	1818	More, Hannah,	The works of Hannah More : including several pieces never before published.
260742	1813	Grant, Anne MacVicar,	Letters from the mountains; being the real correspondence of a lady, between the years 1773 and 1807.
260743	1815	Cunningham, J. W.	A world without souls ; and, The velvet cushion / by J.W. Cunningham.
260744	1815	Cunningham, J. W.	A world without souls ; and, The velvet cushion / by J.W. Cunningham.
260745	1813		An interesting account of the voyages and travels of Captains Lewis and Clarke, in the years 1804-5, & 6 : giving a faithful description of the river Missouri and its source--of the various tribes of Indians through which they passed--manners and customs--soil--climate--commerce--gold and silver mines--animal and vegetable productions : interspersed with very entertaining anecdotes ... : to which is added a complete dictionary of the Indian tongue / by William Fisher, Esq.
260747	1814	West,	"Alicia de Lacy : an historical romance / by the author of """"The loyalists,"""" &c."""
260748	1811	Helme, Elizabeth	Instructive rambles in London and the adjacent villages : Designed to amuse the mind and improve the understanding of youth / by Elizabeth Helme.
260749	1814	Swift, Jonathan	The works of Jonathan Swift D. D., Dean of St. patrick\'s, Dublin : containing additional letters, tracts, and poems, not hitherto published / with notes, and a life of the author, by Sir Walter Scott, bart.
260750	1814	Swift, Jonathan	The works of Jonathan Swift D. D., Dean of St. patrick\'s, Dublin : containing additional letters, tracts, and poems, not hitherto published / with notes, and a life of the author, by Sir Walter Scott, bart.
260751	1815	Louis Bonaparte,	Maria; or, The Hollanders / by Louis Bonaparte.
260752	1811	Wall, Anton	Amatonda : a tale from the German of Anton Wall.
260753	1811		A short account of the courtship of Alonzo & Melissa : setting forth their hardships and difficulties, caused by the barbarity of an unfeeling father / by Daniel Jackson, Jun.
260754	1811		The Asylum, or, Alonzo and Melissa : an American tale, founded on fact / by I. Mitchell.
260755	1811	Foster, Hannah Webster,	The coquette, or, The history of Eliza Wharton : a novel, founded on fact / by a lady of Massachusetts.
260756	1811	Irving, Washington	Salmagundi : or, The whim-whams and opinions of Launcelot Langstaff, esq. and others ....
260757	1811	Parker, Emma.	Elfrida, heiress of Belgrove : a novel. / By Emma Parker.
260758	1811	Rose, Edward H.	The sea-devil; or, Son of a bellows-mender : a tragi-comic romance of the present day. In two volumes. / By Edward Rose, seaman.
260759	1811	Klopstock, Friedrich Gottlieb,	The Messiah / from the German of Klopstock. The first sixteen books by Mrs. Collyer, and the three last by Mrs. Meeke. To which is prefixed, An introduction on divine poetry. In two volumes.
260760	1811	Nares, Edward,	Thinks-I-to-myself : a serio-ludicro, tragico-comico tale / written by Thinks-I-to-Myself, Who?
260761	1811	Nares, Edward,	Thinks-I-to-myself : a serio-ludicro, tragico-comico tale / written by Thinks-I-to-Myself, Who?
260762	1810	West,	"The refusal. By the author of the """"Tale of the times,"""" """"Infidel father,"""" &c."""
260763	1811	Swift, Jonathan	A tale of a tub : written for the universal improvement of mankind : To which is added an account of a battle between the ancient and modern books in St. James Library : with the author\'s apology, and explanatory notes / by W. Wotton, B.D. and others.
260764	1810	Fowler, George.	The wandering philanthropist; or, Lettres [sic] from a Chinese. Written during his residence in the United States. Discovered and edited by George Fowler.
260765	1810		Dame Partlet\'s farm : containing an account of the great riches she obtained by industry, the good life she led, and alas good reader! her sudden death : to which is added, a hymn, written by Dame Partlett, just before her death, and an epitaph for her tomb stone.
260766	1810		Rosa; or, American genius and education.
260767	1811	Barrett, Eaton Stannard,	The metropolis, or, A cure for gaming ; interspersed with anecdotes of living characters in high life / by Cervantes Hogg [pseud]
260768	1810	Cottin,	The Saracen; or, Matilda and Malek Adhel, a crusade romance, from the French of Madame Cottin, with an historical introduction, by J. Michaud.
260769	1811	Brown, Charles Brockden	Ormond : or, The secret witness / by B. C. Brown.
260770	1810	Hunter, Rachel,	Letters from Mrs. Palmerstone  to her daughter; inculcating morality by entertaining narratives. By Mrs. Hunter.
260771	1810	Cottin,	Elizabeth, or, The exiles of Siberia.
260772	1810	Porter, Anna Maria	The lake of Killarney : a novel in two volumes / by Anna Maria Porter.
260773	1816	Johnson, Samuel	Rasselas, : a tale. / By Samuel Johnson, LL.D.
260774	1810	Smith, Charlotte Turner,	The old manor house : a novel / By Charlotte Smith.
260775	1810	Cuthbertson, Catherine	Forest of Montalbano : a novel / by the author of Santo Sebastiano and The romance of the Pyrenees.
260776	1810		Anne of Brittany : an historical romance.
260777	1811	Lady.	Julia de Vienne : a novel, imitated from the french / by a lady.
260778	1811	Goulburn, Edward,	Frederick de Montford : a novel / By the author of The pursuits of fashion.
260779	1811		Bath and London ; or, Scenes in each : a novel.
260780	1810	Walsh,	The officer\'s daughter ; or, A visit to Ireland in 1790 / By the Daughter of a Captain in the Navy, deceased.
260781	1810		The avenger ; or, The Sicilian vespers : a romance of the thirteenth century, not inapplicable to the nineteenth.
260782	1816	Austen, Jane,	"Emma: a novel. In three volumes. By the author of """"Pride and prejudice,"""" &c. &c. ..."""
260783	1816	Austen, Jane,	"Mansfield Park; a novel in three volumes By the author of """"Pride and prejudice."""
260784	1814	Austen, Jane,	"Mansfield Park: a novel.  In three volumes. By the author of """"Sense and sensibility"""", and """"Pride and prejudice"""" ..."""
260785	1811	Austen, Jane,	Sense and sensibility : a novel in three volumes / By a lady.
260786	1818	Shelley, Mary Wollstonecraft,	Frankenstein, or, The modern Prometheus.
260787	1810	Friend to St. Peter.	The trial of Antichrist, otherwise, the man of sin, for high treason against the Son of God ... / taken in short hand by a friend to St. Peter.
260788	1813	Lamb, Charles,	Tales from Shakspeare : designed for the use of young persons ...
260789	1819	T. B.	The life and death of the Merry Deuill of Edmonton : with the pleasant pranks of Smug the Smith, Sir John, and mine host of the George about the stealing of venison / by T.B.
260790	1814		Shakespeare\'s jest book / [edited by Samuel Weller Singer].
260791	1811	Ellis, George,	Specimens of early English metrical romances : chiefly written during the early part of the fourteenth century ; to which is prefixed an historical introduction, intended to illustrate the rise and progress of romantic composition in France and England / by George Ellis, esq.
260792	1814	Harington, John,	The metamorphosis of Ajax : a cloacinean satire, with the Anatomy and Apology, to which is added, Ulysses upon Ajax.
260793	1813	Painter, William,	The palace of pleasure, beautified, adorned, and well furnished with pleasant histories and excellent novels, very requisite for delight and profit : Chosen and selected out of divers good and commendable authors.
260794	1819	Scott, Walter,	Tales of my landlord : third series / collected and arranged  by Jedediah Cleishbotham.
260795	1819	Scott, Walter,	Tales of my landlord : third series / collected and arranged  by Jedediah Cleishbotham.
260796	1813	Fielding, Henry	The works of Henry Fielding, esq., with An essay on his life and genius/ by Arthur Murphy, Esq.
260797	1812	Swift, Jonathan	The works of the Rev. Jonathan Swift, D.D., Dean of St. Patrick\'s, Dublin / Arranged by Thomas Sheridan, A.M. with notes, historical and critical.
260798	1811		Munchausen at Walcheren, or, A continuation of the renowned Barons surprising travels, adventures, expeditions, and exploits, at Walcheren, The Dardanelles, Talavera, Cintra, &c. &c. his various combats with Eastern armies: and the particulars of a wonderful turtle-feast with Sir W...... C...... on board his yacht, when preparing to attack Flushing. Written by himself.
260799	1811	Porter, Jane,	The Scottish chiefs : a romance, in five volumes / by Miss Jane Porter.
260800	1811		"The Spirit of """"The book"""", or, Memoirs of Caroline, princess of Hasburgh : a political and amatory romance / edited by Thomas Ashe."""
260801	1811		Christmas tales : for the amusement and instruction of young ladies and gentlemen in winter evenings.
260802	1818	Scott, Walter,	Tales of my landlord : second series / collected and arranged  by Jedediah Cleishbotham.
260803	1818	Scott, Walter,	Tales of my landlord : second series / collected and arranged  by Jedediah Cleishbotham.
260804	1816	Scott, Walter,	Tales of my landlord / collected and arranged by Jedediah Cleishbotham.
260806	1814	Battersby, John	Tell-tale sophas : an eclectic fable in three volumes : Founded on anecdotes, foreign and domestic / By John Battersby.
260807	1815	Barrett, Eaton Stannard,	The heroine, or, Adventures of Cherubina / by Eaton Stannard Barrett.
260808	1815	Barrett, Eaton Stannard,	The heroine, or, Adventures of Cherubina / by Eaton Stannard Barrett.
260809	1815	Barrett, Eaton Stannard,	The heroine, or, Adventures of Cherubina / by Eaton Stannard Barrett.
260810	1810	Corp, Harriet.	An antidote to the miseries of human life in the history of the     widow Placid and her daughter Rachel.
260811	1819	Brackenridge, H. H.	Modern chivalry : containing the adventures of a captain and     Teague O\'Regan, his servant / By H. H. Brackenridge, ... With the last corrections and additions of the author. ...
260812	1817	Vandelure, John.	A narrative of the travels of John Vandeluer, on the western continent : Containing an account of the conversion of an Indian chief and his family to Christianity : Being a letter written to his uncle in Philadelphia in the year 1796.
260813	1749	Fielding, Henry	The history of Tom Jones, a foundling : In four volumes / by Henry Fielding, Esq.
260815	1818	Erskine, Thomas Erskine,	Armata : a fragment.
260816	1818	Erskine, Thomas Erskine,	The second part of Armata.
260817	1810	Goldsmith, Oliver,	The vicar of Wakefield : a tale.
260818	1810		The adulteress, or, Anecdotes of two noble families : A tale : In four volumes / By an English-woman.
260819	1812	Opie, Amelia Alderson,	Temper, or, Domestic scenes : a tale, in three volumes / by Mrs. Opie.
260820	1812	Ashe, Thomas,	The liberal critic, or, Memoirs of Henry Percy : conveying a     correct estimate of the manners and principles of the present times/ By      Thomas Ashe, Esq.
260821	1817	Manvill, P.D.	Lucinda, or, The mountain mourner : Being recent facts in a series of letters / from Mrs. Manvill, in the State of New-York, to her sister in Pennsylvania.
260822	1816	Paltock, Robert,	The life & adventures of Peter Wilkins, a Cornish man : taken from his own mouth, in his passage to England, from off Cape Horn in America, in the ship Hector / by R.S., a passenger in the Hector.
260823	1811		The Arabian nights entertainments : carefully revised, and occasionally corrected from the Arabic : to which is added, a selection of new tales, now first translated from the Arabic originals, also, an introduction and notes, illustrative of the religion, manners and customs, of the Mahummedans / by Jonathan Scott.
260824	1811		The Arabian nights entertainments : carefully revised, and occasionally corrected from the Arabic : to which is added, a selection of new tales, now first translated from the Arabic originals, also, an introduction and notes, illustrative of the religion, manners and customs, of the Mahummedans / by Jonathan Scott.
260825	1812	Bigelow, Jacob	The wars of the gulls : an historical romance : In three chapters.
260826	1816	Jacson, Frances,	"Rhoda : a novel / By the author of """"Things by their right names"""" and """"Plain sense."""
260827	1818	De Lourdoueix, M.	Charenton, or, The follies of the age : a philosophical romance  / by M. de Lourdoueix ; translated from the French.
260828	1815	Brackenridge, H. H.	Modern chivalry : containing the adventures of a captain, and Teague O\'Regan, his servant / By H.H. Brackenridge.
260829	1741	Aulnoy,	The history of Hypolitus, earl of Douglas : with the secret history of Macbeth, king of Scotland : to which is added, The art of love, or   The amours of Count Schlick and a young lady of quality.
260830	1815	Surr, T. S.	The magic of wealth : a novel / by T. S. Surr.
260831	1812	West,	"The loyalists : an historical novel / by the author of """"Letters to a young man,"""" """"A tale of the times,"""" &c."""
260832	1812	West,	"The loyalists : an historical novel / by the author of """"Letters to a young man,"""" """"A tale of the times,"""" &c."""
260833	1818	Scott, Walter,	"Rob Roy / by the author of """"Waverley,"""" """"Guy Mannering,"""" and """"The antiquary."""
260834	1818	Scott, Walter,	"Rob Roy / by the author of """"Waverley,"""" """"Guy Mannering,"""" and """"The antiquary."""
260835	1816	Scott, Walter,	"The antiquary / by the author of """"Waverley"""" and """"Guy Mannering."""
260836	1816	Scott, Walter,	"The antiquary / by the author of """"Waverley"""" and """"Guy Mannering."""
260837	1816	Scott, Walter,	"The antiquary / by the author of """"Waverley"""" and """"Guy Mannering."""
260838	1812	Burney, Sarah Harriet,	Traits of nature / by Miss Burney, author of Clarentine, Geraldine Fauconberg, &c.
260842	1818	Brown, Thomas,	Brighton, or, The Steyne : a satirical novel in three volumes.
