id	author name	title catalog	pub date
260798		Munchausen at Walcheren, or, A continuation of the renowned Barons surprising travels, adventures, expeditions, and exploits, at Walcheren, The Dardanelles, Talavera, Cintra, &c. &c. his various combats with Eastern armies: and the particulars of a wonderful turtle-feast with Sir W...... C...... on board his yacht, when preparing to attack Flushing. Written by himself.	1811
260799	Porter, Jane	The Scottish chiefs : a romance, in five volumes / by Miss Jane Porter.	1811
260800		The Spirit of ""The book"", or, Memoirs of Caroline, princess of Hasburgh : a political and amatory romance / edited by Thomas Ashe."	1811
260801		Christmas tales : for the amusement and instruction of young ladies and gentlemen in winter evenings.	1811
260802	Scott, Walter	Tales of my landlord : second series / collected and arranged  by Jedediah Cleishbotham.	1818
260803	Scott, Walter	Tales of my landlord : second series / collected and arranged  by Jedediah Cleishbotham.	1818
260804	Scott, Walter	Tales of my landlord / collected and arranged by Jedediah Cleishbotham.	1816
260806	Battersby, John	Tell-tale sophas : an eclectic fable in three volumes : Founded on anecdotes, foreign and domestic / By John Battersby.	1814
260807	Barrett, Eaton Stannard	The heroine, or, Adventures of Cherubina / by Eaton Stannard Barrett.	1815
260808	Barrett, Eaton Stannard	The heroine, or, Adventures of Cherubina / by Eaton Stannard Barrett.	1815
260809	Barrett, Eaton Stannard	The heroine, or, Adventures of Cherubina / by Eaton Stannard Barrett.	1815
260810	Corp, Harriet	An antidote to the miseries of human life in the history of the     widow Placid and her daughter Rachel.	1810
260811	Brackenridge, H. H	Modern chivalry : containing the adventures of a captain and     Teague O\\\'Regan, his servant / By H. H. Brackenridge, ... With the last corrections and additions of the author. ...	1819
260812	Vandelure, John	A narrative of the travels of John Vandeluer, on the western continent : Containing an account of the conversion of an Indian chief and his family to Christianity : Being a letter written to his uncle in Philadelphia in the year 1796.	1817
260815	Erskine, Thomas Erskine	Armata : a fragment.	1818
260816	Erskine, Thomas Erskine	The second part of Armata.	1818
260817	Goldsmith, Oliver	The vicar of Wakefield : a tale.	1810
260818		The adulteress, or, Anecdotes of two noble families : A tale : In four volumes / By an English-woman.	1810
260819	Opie, Amelia Alderson	Temper, or, Domestic scenes : a tale, in three volumes / by Mrs. Opie.	1812
260820	Ashe, Thomas	The liberal critic, or, Memoirs of Henry Percy : conveying a     correct estimate of the manners and principles of the present times/ By      Thomas Ashe, Esq.	1812
260821	Manvill, P.D	Lucinda, or, The mountain mourner : Being recent facts in a series of letters / from Mrs. Manvill, in the State of New-York, to her sister in Pennsylvania.	1817
260822	Paltock, Robert	The life & adventures of Peter Wilkins, a Cornish man : taken from his own mouth, in his passage to England, from off Cape Horn in America, in the ship Hector / by R.S., a passenger in the Hector.	1816
260823		The Arabian nights entertainments : carefully revised, and occasionally corrected from the Arabic : to which is added, a selection of new tales, now first translated from the Arabic originals, also, an introduction and notes, illustrative of the religion, manners and customs, of the Mahummedans / by Jonathan Scott.	1811
260824		The Arabian nights entertainments : carefully revised, and occasionally corrected from the Arabic : to which is added, a selection of new tales, now first translated from the Arabic originals, also, an introduction and notes, illustrative of the religion, manners and customs, of the Mahummedans / by Jonathan Scott.	1811
260825	Bigelow, Jacob	The wars of the gulls : an historical romance : In three chapters.	1812
260826	Jacson, Frances	Rhoda : a novel / By the author of ""Things by their right names"" and ""Plain sense."	1816
260827	De Lourdoueix, M	Charenton, or, The follies of the age : a philosophical romance  / by M. de Lourdoueix ; translated from the French.	1818
260828	Brackenridge, H. H	Modern chivalry : containing the adventures of a captain, and Teague O\\\'Regan, his servant / By H.H. Brackenridge.	1815
260830	Surr, T. S	The magic of wealth : a novel / by T. S. Surr.	1815
260831	West	The loyalists : an historical novel / by the author of ""Letters to a young man,"" ""A tale of the times,"" &c."	1812
260832	West	The loyalists : an historical novel / by the author of ""Letters to a young man,"" ""A tale of the times,"" &c."	1812
260833	Scott, Walter	Rob Roy / by the author of ""Waverley,"" ""Guy Mannering,"" and ""The antiquary."	1818
260834	Scott, Walter	Rob Roy / by the author of ""Waverley,"" ""Guy Mannering,"" and ""The antiquary."	1818
260835	Scott, Walter	The antiquary / by the author of ""Waverley"" and ""Guy Mannering."	1816
260836	Scott, Walter	The antiquary / by the author of ""Waverley"" and ""Guy Mannering."	1816
260837	Scott, Walter	The antiquary / by the author of ""Waverley"" and ""Guy Mannering."	1816
260838	Burney, Sarah Harriet	Traits of nature / by Miss Burney, author of Clarentine, Geraldine Fauconberg, &c.	1812
260842	Brown, Thomas	Brighton, or, The Steyne : a satirical novel in three volumes.	1818
260843	Roche, Regina Maria	Anna, or, Edinburgh : a novel in two volumes / by Mrs. Roche.	1815
260844	Brown, Thomas	Bath : a satirical novel, with portraits / by Thomas Brown, the Elder.	1818
260845	Gunning	The man of fashion : a tale of modern times / by the late Miss Gunning.	1815
260846	Appleton	Edgar : a national tale / by Miss Appleton.	1816
260847		Robin Hood : a tale of the olden time : in two volumes.	1819
260848		The ordeal : a novel : in three volumes.	1813
260850	Bury, Charlotte Campbell	Self-indulgence : a tale of the nineteenth century.	1812
260851	Benson, Maria	The carriage / by Maria Benson.	1819
260852	Barrett, Eaton Stannard	Six weeks at Long\\\'s / by a late resident.	1817
260853	Benson, Maria	The wife : a novel : in three volumes / by Maria Benson.	1810
260855	Colman, George	The history of Elsmere and Rosa : an episode / the merry matter written by John Mathers; the grave by a solid gentleman.	1817
260857	Brooke, Frances	Manners : a novel.	1817
260858	Macneill, Hector	The Scottish adventurers, or, the way to rise : an historical tale / by Hector Macneill.	1812
260859		Anne of Brittany : an historical romance.	1811
260860	Jacson, Frances	Things by their right names : a novel / by a person without a name.	1812
260861	Ross	The bachelor and the married man, or The equilibrium of the ""balance of comfort."	1817
260862		Rosamund, Countess of Clarenstein.	1812
260863	Bigelow, Jacob	Varieties in woman : a novel.	1819
260868		The British novelists : with an essay, and prefaces, biographical and criticial / by Mrs. Barbauld.	1810
260869	Richardson, Samuel	Clarissa, or, The history of a young lady : comprehending the most important concerns of private life : and particularly shewing the distresses that may attend the misconduct both of parents and children, in relation to marriage.	1810
260870	Richardson, Samuel	The history of Sir Charles Grandison : in a series of letters / Samuel Richardson.	1810
260871	Defoe, Daniel	The life and surprising adventures of Robinson Crusoe, of York, mariner : who lived eight-and-twenty years, all alone, on an uninhabited island, near the mouth of the great river Oroonoque : With an account of his travels round three parts of the globe / Written by himself.	1810
260872	Fielding, Henry	The history of the adventures of Joseph Andrews, and his friend, Mr. Abraham Adams : Written in imitation of the manner of Cervantes ... / by Henry Fielding.	1810
260873	Fielding, Henry	The history of Tom Jones, a foundling / Henry Fielding.	1810
260874	Reeve, Clara	The Old English Baron : a Gothic story / [Clara Reeve]. The Castle of Otranto : a Gothic story / Horace Walpole, Earl of Orford.	1810
260875	Coventry, Francis	The history of Pompey the Little, or the life and adventures of a lap-dog / by Mrs. Coventry. The Vicar of Wakefield : a tale. By Dr. Goldsmith.	1810
260876	Lennox, Charlotte	The female Quixote, or The adventures of Arabella / by Mrs. Lennox.	1810
260877	Johnson, Samuel	The history of Rasselas, prince of Abissinia / By Samuel Johnson. Almoran and Hamet : An oriental tale / By Dr. Hawkesworth.	1810
260879	Inchbald	A simple story / by Mrs. Inchbald.	1810
260880	Mackenzie, Henry	The man of feeling : and Julia de Roubigné, a tale, in a  series of letters / by Henry Mackenzie, esq.	1810
260881	Smollett, Tobias George	The expedition of Humphry Clinker / by the author of Roderick Random.	1810
260882	Graves, Richard	The spiritual Quixote, or the summers̕ ramble of Mr. Geoffry   Wildgoose : a comic romance to which is prefixed the life of the author.	1810
260883	Moore, John	Zeluco : various views of human nature, taken from life and  manners, foreign and domestic / by Dr. Moore.	1810
260884	Smith, Charlotte Turner	The old manor house / By Charlotte Smith.	1810
260885	Burney, Fanny	Evelina, or, The history of a young lady\\\'s introduction to the world.	1810
260886	Burney, Fanny	Cecilia, or, Memoirs of an heiress / by the author of Evelina.	1810
260887	Radcliffe, Ann Ward	The romance of the forest : interspersed with some pieces of poetry / by the authoress of ""A Sicilian romance,"" &c."	1810
260888	Radcliffe, Ann Ward	The mysteries of Udolpho : a romance : interspersed with some    pieces of poetry / by Ann Radcliffe.	1810
260889	Bage, Robert	Man as he is not ; or, Hermsprong / Robert Bage.	1810
260890	Edgeworth, Maria	Belinda / Maria Edgeworth.	1810
260891	Paulding, James Kirke	Letters from the South : written during an excursion in the summer of 1816 / by the author of John Bull and Brother Jonathan, &c. &c.	1817
260892	Bloomfield, Obadiah Benjamin Franklin	The life and adventures of Obadiah Benjamin Franklin Bloomfield, M.D. : a native of the United States of America, now on the tour of Europe : interspersed with episodes, and remarks, religious, moral, public spirited, and humorous / written by himself.	1818
260893	Graham, Elizabeth Susanna Davenport	Voyage to Locuta : a fragment, with etchings and notes of illustration : dedicated to Theresa Tidy ... / by Lemuel Gulliver, Jun.	1818
260894	Agg, John	A month in town : a satirical novel / by Humphrey Hedgehog.	1816
260897		The spirit of ""The book"" or, Memoirs of Caroline princess of        Hasburg : a political and amatory romance : In one volume / Edited by     Thomas Ashe, Esq."	1812
260898	Balfour, Alexander	Campbell, or, The Scottish probationer : a novel.	1819
260899	Dacre, Charlotte	The passions : in four volumes / by Rosa Matilda.	1811
260900	Brooke, Frances	A year and a day : a novel / by Madame Panache.	1818
260903	Ferrier, Susan	Marriage : a novel.	1818
260904	Godwin, William	Mandeville : a tale of the seventeenth century in England / by William Godwin.	1818
260905	Godwin, William	Mandeville : a tale of the seventeenth cenutry in England / by William Godwin.	1817
260906	Hamilton, Elizabeth	The cottagers of Glenburnie : a tale for the farmer\\\'s fire-side / by Elizabeth Hamilton.	1812
260907	Hamilton, Elizabeth	The cottagers of Glenburnie : a tale for the farmer\\\'s fire-side / by Elizabeth Hamilton.	1812
260909	Hutton, Catherine	The Welsh mountaineer : a novel / by Catharine Hutton.	1817
260910	Argus, Arabella	The juvenile spectator : being observations on the tempers, manners, and foibles of various young persons : interspersed with such lively   matter as it is presumed will amuse as well as instruct / by Arabella Argus.	1810
260911		Letters of an Italian nun and an English gentleman / translated from the French of J.J. Rousseau.	1817
260912		Lionel, or, The last of the Pevenseys : a novel.	1818
260915	Serres, Olivia Wilmot	Memoirs of a princess, or, First love : an historical romance / by Olivia W. S----, author of ""The book."	1812
260916		Fatherless Fanny, or, A young lady\\\'s first entrance into life : being the memoirs of a little mendicant and her benefactors / by the author of The old English baron, &c. &c.	1816
260917	Jacson, Frances	Rhoda : a novel / by the author of ""Things by their right names,"" ""Plain sense,"" &c."	1816
260918	Roche, Regina Maria	The monastery of St. Columb, or, The atonement : a novel / by Regina Maria Roche.	1813
260919	Ross	The balance of comfort, or, The old maid and married woman : a novel / by Mrs. Ross.	1817
260920	Ross	The balance of comfort, or, The old maid and married woman : a novel / by Mrs. Ross.	1817
260922	Porter, Anna Maria	The recluse of Norway / by Anna Maria Porter.	1815
260924	Barlow, F	A sequel to Coelebs, or, The Stanley letters : containing observations on religion and morals, with anecdotes founded on fact.	1812
260925	West	The loyalists : an historical novel / by the author of ""Letters to a young man"", ""A tale of the times"", &c."	1813
260929	Rousseau, Jean-Jacques	Eloisa : a series of letters / translated from the French of J.J. Rousseau; to which are added, The adventures of Lord B- at Rome, being the sequel of Eloisa (found among the author\\\'s papers after his decease).	1810
260930	Mathers, John	The history of Mr. John Decastro and his brother Bat, commonly called Old Crab : in four volumes / the merry matter written by John Mathers, the grave by a solid gentleman.	1815
260931	Corp, Harriet	An antidote to the miseries of human life, in the history of the widow Placid and her daughter Rachel / by Harriet Corp.	1814
260933	Cuthbertson, Catherine	Adelaide, or, The countercharm : a novel.../ By the author of ""Santo Sebastiano, or, The young protector,"" ""Romance of the Pyrenees,"" and ""The forest of Montalbano"" ..."	1813
260934	Cuthbertson, Catherine	Rosabella, or, A mother\\\'s marriage : a novel : in five volumes / By the author of The romance of the Pyrenees, Santo Sebastiano, or, The young protector, The forest of Montalbano ...	1817
260935	Cuthbertson, Catherine	Rosabella, or, A mother\\\'s marriage : a novel : in five volumes / By the author of The romance of the Pyrenees, Santo Sebastiano, or, The young protector, The forest of Montalbano ...	1817
260936	Dallas, Alexander R.C	Felix Alvarez, or, Manners in Spain : containing descriptive accounts of some of the prominent events of the late peninsular war : and authentic anecdotes illustrative of the Spanish character : interspersed with poetry, original, and from the Spanish / by Alexander R.C. Dallas.	1818
260937	Edgeworth, Maria	Harrington : a tale and Ormond : a tale / by Maria Edgeworth, author of Comic dramas, Tales of fashionable life, &c. &c ; in three volumes.	1817
260938	Dallas, Robert Charles	The miscellaneous works and novels of R. C. Dallas.	1813
260940		Harold the exile.	1819
260941	Herbster, F.	The cavern of Roseville, or, The two sisters : a tale / translated from the French of Madame Herbster by A. Jamieson.	1817
260942	Hutton, Catherine	The miser married : a novel / by Catherine Hutton.	1813
260943	Johnstone, C. I	Clan-Albin : a national tale.	1815
260944	Leadbeater, Mary	Tales for cottagers : accomodated to the present condition of the Irish peasantry / by Mary Leadbetter and Elizabeth Shakleton.	1814
260945		The absent man : a narrative / edited by Sir Peter Plastic, Knight of the Order of the Tower and Sword.	1817
260946		The absent man : a narrative / edited by Sir Peter Plastic, Knight of the Order of the Tower and Sword.	1817
260947	Plumptre, Anne	Tales of wonder, of humour, and of sentiment; original and translated. By Anne and Annabella Plumptre.	1818
260948	Gunning	Dangers through life, or, The victim of seduction : a novel / by Mrs. Plunkett (late Miss Gunning).	1812
260949	Porter, Anna Maria	The fast of St. Magdalen : a romance / by Miss Anna Maria Porter.	1819
260951	Porter, Jane	Thaddeus of Warsaw / by Miss Porter.	1812
260952	Prickett	Warwick Castle : an historical novel / by Miss Prickett.	1815
260953		Rachel : a tale.	1818
260955	Cottin	Elizabeth, or, The exiles of Siberia : A tale founded on facts / From the French of Madame de Cottin, by Mrs. Meeke.	1814
260956	Opie, Amelia Alderson	Tales of real life / by Mrs. Opie.	1813
260958	Moysey, Abel	Forman : a tale.	1819
260959	Radcliffe, Ann Ward	The castles of Athlin and Dunbayne : a Highland story / by Ann Radcliffe.	1811
260960	Opie, Amelia Alderson	The father and daughter : a tale, in prose / by Mrs. Opie.	1819
260961	Author of Prodigious!!!, or, Childe paddie in London	Gogmagog-Hall, or, The philosophical lord and the governess / by the author of Prodigious!!! or, Childe Paddie in London.	1819
260962	Maturin, Charles Robert	Women, or, Pour et contre : a tale / by the author of ""Bertram,"" &c. ; in three volumes."	1818
260963	Hawkins, Laetitia Matilda	The countess and Gertrude, or, Modes of discipline / by Laetitia-Matilda Hawkins ; in four volumes.	1811
260964	Cordova, Cordelia	Human nature : a novel : in three volumes.	1816
260967		Popular romances : consisting of imaginary voyages and travels : Containing Gulliver\\\'s travels, Journey to the world under ground, The life and adventures of Peter Wilkins, The adventures of Robinson Crusoe, and The history of Automathes / to which is prefixed an introductory dissertation, by Henry Weber, esq.	1812
260968	Scott, Walter	Guy Mannering, or, The astrologer / by the author of Waverley.	1817
260969	Scott, Walter	Waverley, or, \\\'Tis sixty years since.	1817
260970	Scott, Walter	Tales of my landlord / collected and arranged by Jedediah Cleishbotham.	1818
260973	Stuart, Augusta Amelia	Cava of Toledo, or, The Gothic princess : A romance / by Augusta Amelia Stuart.	1812
260980	Swift, Jonathan	A tale of a tub : written for the universal improvement of mankind : To which is added, An account of a battle between the ancient and modern books in St. James\\\'s Library : with the author\\\'s apology, and explanatory notes / by W. Wotton and others.	1812
260981	Mordaunt, Henry	Chronicles of the Ton, or, A spring and summer in London / by Henry Mordaunt.	1815
260982	Smollett, Tobias George	The adventures of Peregrine Pickle : in which are included Memoirs of a lady of quality : in two volumes.	1815
260983	Smollett, Tobias George	The adventures of Roderick Random / by T. Smollett ; with a life of the author.	1815
260984		Worthingham-lease : a tale / by _____.	1811
260985	Erskine, Thomas Erskine	Armata : a fragment.	1817
260986	Sullivan, W. F	The history of Mr. Rightway and his pupils : an entertaining and instructive lesson for young gentlemen / written by William Francis Sullivan.	1816
260988	Swift, Jonathan	Gulliver\\\'s travels into several remote nations of the world / by Jonathan Swift ; with a sketch of his life.	1819
260990	Campbell, John	Worlds displayed, for the benefit of young people, by a familiar history of some of their inhabitants.	1819
260991		The history of Jacob Newman, the shipwrecked Irish boy.	1810
