128	260782	 3 v. ;					
129	260783	 3 v. ;					
130	260784	 3 v. ;					
131	260785	 3 v. ;					
132	260786	 3 v. ;	520: 0/2				
133	260787	 162, [2] p. ;					
134	260788	 2 v. ;	520: 0/1				
135	260789	 iv, 52 p. :					
136	260790	 xxxii, 116, [2], xxviii, 121, [3], xi, 26, [2] p. :	520: 0/11	591: 0/2			
137	260791	 3 v. ;					
138	260792	 1v. ;					
139	260793	 2 v. ;					
140	260794	 4 v. ;					
141	260795	 4 v. ;					
142	260796	 14 v. ;	520: 12/14				
143	260797	 24 v. :					
144	260798	 xi, [1], 180 p., [5] leaves of plates :					
145	260799	 5 v. ;	520: 1/13				
146	260800	 3 v. ;	520: 1/2				
147	260801	 106, [2] p. :	520: 0/1	591: 0/2	594: 0/2		656: 0/1
148	260802	 4 v. ;					
149	260803	 4 v. ;					
150	260804	 4 v. ;					
151	260806	 3 v. ;					
152	260807	 3 v. ;	520: 0/3				
153	260808	 3 v. ;					
154	260809	 3 v. ;	520: 0/3				
155	260810	 viii, 134, [2] p. ;					
156	260811	 2 v. ;					
157	260812	 87 p. ;				595: 0/1	
158	260813	 6 v. ;	520: 0/1				
159	260815	 210 p. ;	520: 0/2			595: 0/1	
160	260816	 viii, 214 p. ;	520: 0/3				
161	260817	 136, [1] p., [5] leaves of plates :	520: 0/1	591: 0/1			
162	260818	 4 v. ; 347 pages					
163	260819	 3 v. ;		591: 0/1			
164	260820	 3 v. ;					
165	260821	 180 p. ;					
166	260822	 2 v. ;	520: 0/2				
167	260823	 6 v. ;					
168	260824	 6 v. ;					
169	260825	 36 p. ;	520: 0/1		594: 0/2		
170	260826	 3 v. ;		591: 77/79			
171	260827	 iv, [4], 252, [4] p., [7] leaves of plates :	520: 0/6				656: 0/1
172	260828	 276 p. ;					
173	260829	 [2], 362 p. ;					
174	260830	 3 v. ;					
175	260831	 3 v. ;					
176	260832	 3 v. ;					
177	260833	 3 v. ;	520: 1/2	591: 39/40			
178	260834	 3 v. ;	520: 1/2	591: 39/40			
179	260835	 3 v. ;					
180	260836	 3 v. ;					
181	260837	 3 v. ;					
182	260838	 4 v. ;	520: 0/2	591: 0/1			
183	260842	 3 v. ;					
184	260843	 2 v. ;		591: 0/1			
185	260844	 3 v. ;					
186	260845	 2 v. ;					
187	260846	 3 v. ;					
188	260847	 2 v. ;					
189	260848	 3 v. ;					
190	260850	 2 v. ;					656: 0/1
191	260851	 168 p. :					
192	260852	 3 v. ;	520: 0/1	591: 0/1			
193	260853	 3 v. ;					
194	260855	 2 v. ;					
195	260857	 3 v. ;					
196	260858	 2 v. ;	520: 0/1				
197	260859	 3 v. ;					
198	260860	 2 v. ;	520: 0/1	591: 0/2			
199	260861	 3 v. ;		591: 0/1			
200	260862	 3 v. ;	520: 0/1				
201	260863	 3 v. ;					
202	260864	 3 v. ;	520: 0/1				
203	260865	 2 v. :					
204	260867	 3 v. ;		591: 0/2		595: 0/1	656: 0/1
205	260868	 50 v. ;					
206	260869	 8 v. ;	520: 1/13				
207	260870	 7 v. ;	520: 0/4				
208	260871	 2 v. ;	520: 2/4				
209	260872	 395 p. ;	520: 0/2				
210	260873	 3 v. ;	520: 0/1				
211	260874	 [4], iii, [1], 303 p. ; 16 cm.	520: 0/5	591: 0/1			
212	260875	 [4], xii, 380 p. ;	520: 0/2	591: 0/3			
213	260876	 2 v. ;	520: 0/2				
214	260877	 [4], viii, ii, 251 p. ;	520: 0/3				
215	260879	 [4], 353 p. ;		591: 0/1			
216	260880	 [4], iii, 274 p. ;	520: 0/1				
217	260881	 2 v. ;	520: 0/4				
218	260882	 2 v. ;	520: 0/7				
219	260883	 2 v. ;	520: 0/1				
220	260884	 2 v. ;	520: 0/1				
221	260885	 2 v. ;	520: 0/3				
222	260886	 3 v. ;					
223	260887	 2 v. ;	520: 0/2				
224	260888	 3 v. ;					
225	260889	 [4], iii, [1], 352 p. ;	520: 0/1	591: 0/1			
226	260890	 2 v. ;		591: 0/1			
227	260891	 2 v. ;					
228	260892	 xi, 210 ;		591: 0/3			
229	260893	 47, [5] p., [6] leaves of plates :					
230	260894	 3 v. ;	520: 0/1				
231	260897	 vi, [1], 8-364, [2] p. ;					
232	260898	 3 v. ;		591: 0/1			
233	260899	 4 v. ;					
234	260900	 2 v. ;		591: 1/2			
235	260902	 2 v. ;					
236	260903	 3 v. ;					
237	260904	 2 v. ;					
238	260905	 3 v. ;					
239	260906	 231, [3] p. :					
240	260907	 231, [3] p. :	520: 0/5	591: 0/1			656: 0/1
241	260908	 viii, 9-288 p.	520: 0/1				
242	260909	 2 v. ;					
243	260910	 xi, 225, [4] p., [3] leaves of plates ;	520: 0/1	591: 0/1			656: 0/1
244	260911	 xii, 132, 4 p., [1] leaf of plates ;	520: 0/2	591: 0/1	594: 0/2		656: 0/1
245	260912	 3 v. ;					
246	260913	 iv, [3], 220 p. ;	520: 0/2				
247	260915	 2 v. ;					
248	260916	 iv, 355 p., [4] leaves of plates :					
249	260917	 3 v. ;					
250	260918	 5 v. ;					
251	260919	 3 v. ;		591: 40/42			
252	260920	 3 v. ;					
253	260921	 2 v. ;					
254	260922	 2 v. ;					
255	260923	 [4], [7]-359 p., [1] leaf of plates :	520: 0/1	591: 0/1		595: 0/1	
256	260924	 [2], iv, 372 p. ;					
257	260925	 2 v. ;					
258	260926	 [2], x, x, xii, 202 p., [1] leaf of plates :	520: 0/3				
259	260928	 2 v. :					
260	260929	 xii, 321 p.,  3v	520: 0/4				
261	260930	 4 v. ;					
262	260931	 142 p. ;	520: 0/3	591: 0/1			
263	260933	 5 v. ; 424 pages					
264	260934	 5 v. ;					
265	260935	 5 v. ;					
266	260936	 3 v. ;					
267	260937	 3 v. ;					
268	260938	 7 v. ;					
269	260940	 3 v. ;					
270	260941	 vi, 174 p. ;					
271	260942	 3 v. ;					
272	260943	 4 v. ;	520: 0/2	591: 55/56			
273	260944	 [2], 227 p., [1] leaf of plates :					
274	260945	 vii, [1], 232 p. ;	520: 0/2	591: 0/1	594: 0/1		
275	260946	 vii, [1], 232 p. ;	520: 0/2	591: 0/1	594: 0/1		
276	260947	 3 v. ;					
277	260948	 3 v. ;					
278	260949	 3 v. ;		591: 0/1			
279	260951	 4 v. ;					
280	260952	 3 v. ;					
281	260953	 7, [1], 153, [7] p., [1] leaf of plates :					
282	260955	 198 p., [1] leaf of plates :					
283	260956	 3 v. ;			594: 0/1		
284	260957	 2 v. ;	520: 0/2				656: 1/2
285	260958	 3 v. ;	520: 0/2				
286	260959	 280 p. ;		591: 0/1		595: 0/2	
287	260960	 viii, 232 p., [1] leaf of plates :					
288	260961	 3 v. ;					
289	260962	 3 v. ;					
290	260963	 4 v. ;					
291	260964	 3 v. ;	520: 0/1	591: 0/1			
292	260965	 [4], 183, [1] p. ;	520: 0/1				
293	260966	 [4], 183, [1] p. ;					
294	260967	 xliii, 638 p. ;					
295	260968	 3 v. ;					
296	260969	 3 v. ;					
297	260970	 4 v. ;					
298	260971	 [42], iv, 64 p. ;	520: 0/1		594: 0/1		
299	260972	 26 p. ;					
300	260973	 5 v. ;					
301	260974	 264 p., [8] leaves of plates :					
302	260975	 [2], xvi, [6], 220 p., [8] leaves of plates :					
303	260976	 [2], xvi, [6], 220 p., [8] leaves of plates :					
304	260977	 [2], xvi, [6], 220 p., [8] leaves of plates :					
305	260978	 [2], xvi, [6], 220 p., [8] leaves of plates :					
306	260979	 [2], xvi, [6], 220 p., [8] leaves of plates :					
307	260980	 235 p. ;					
308	260981	 3 v. ;					
309	260982	 2 v. ;					
310	260983	 568 p., [2] leaves of plates :	520: 0/4		594: 0/2		
311	260984	 151 p. ;					
312	260985	 2 v. in 1 ;					
313	260986	 [2], 85, [19] p., [2] leaves of plates ;					
314	260987	 2 v. ;	520: 0/1				656: 0/1
315	260988	 [12], 322 p., [1] leaf of plates :					
316	260989	 4 v. ;	520: 0/1				
317	260990	 52, [2] p. :					
318	260991	 36 p. ;					
319	260992	 xii, 286, [2] p. ;					
320	260993	 viii, 301, [3] p. ;					
321	260994	 4 v. ;	520: 0/2				
322	260995	 4 v. ;	520: 0/6		594: 0/1		
323	260996	 4 v. ;	520: 0/2				
324	260997	 4 v. ;	520: 0/2				
325	260998	 4 v. ;	520: 0/2		594: 0/1		
326	260999	 [10], 296 p., [6] leaves of plates :					
327	261000	 [10], 296 p., [6] leaves of plates :					
328	261001	 [10], 296 p., [6] leaves of plates :					
329	261002	 [10], 351, [1] p., [6] leaves of plates :					
330	261003	 277p. ;		591: 0/2			656: 0/1
331	261004	 240 p., [1] leaf of plates (fold.) ;					
332	261005	 [8], 352 p. ;					
333	261006	 [2], viii, 209, [1] p. ;					
334	261007	 4 v. :					
335	261008	 4 v. ;					
336	261009	 viii, 216 p. ;					
337	261010	 5 v. ;					
338	261011	 364, [2] p. ;					
339	261012	 4 v. ;					
340	261013	 3 v. ;					
341	261014	 4 v. ;					
342	261015	 35 p. ;					
343	261016	 xx, [13]-176, [2] p. ;					
344	261017	 [4], 164 p., [1] leaf of plates :					
345	261018	 142 p. ;	520: 0/2	591: 0/1			
346	261019	 2 v. ;					
347	261020	 2 v. ;					
348	261021	 2 v. ;					
349	261022	 2 v. ;					
350	261023	 2 v. ;					
351	261024	 2 v. ;					
352	261025	 2 v. ;					
353	261026	 2 v. ;					
354	261027	 2 v. ;					
