id	title	author	date	other works	nouns	adjectives	places	persons	verbs	material objects	adverbs
440270	The empire of the Nairs; or, the rights of women. An utopian romance, in twelve books. By James Lawrence, author of The bosom friend, Love, an allegory, etc. In four volumes. Vol. I. Second edition.	Lawrence, James	1813	['Love, an allegory', 'The bosom friend']	['Allegory', 'Author', 'Book', 'Edition', 'Empire', 'Friend', 'Love', 'Nairs', 'Right', 'Romance', 'Volume', 'Woman']	['Bosom', 'Four', 'Second', 'Twelve', 'Utopian']		['James Lawrence']			
440271	Travels into several remote nations of the world; by Lemuel Gulliver. First a surgeon, and then a captain of several ships. In four parts. Part I. A voyage to Lilliput. Part II. A voyage to Brobdingnag. Part III. A voyage to Laputa, Balnibarbi, Luggnagg, Glubbdubdrib, and Japan. Part IV. A voyage to the country of the Houyhnhnms.	Swift, Jonathan	1755		['Nation', 'Travel']						
440272	Travels into several remote nations of the world; by Lemuel Gulliver. First a surgeon, and then a captain of several ships. In four parts. Part I. A voyage to Lilliput. Part II. A voyage to Brobdingnag. Part III. A voyage to Laputa, Balnibarbi, Luggnagg, Glubbdubdrib, and Japan. Part IV. A voyage to the country of the Houyhnhnms.	Swift, Jonathan	1755		['Nation', 'Travel']						
440273	Travels into several remote nations of the world. In four parts. By Lemuel Gulliver, first a surgeon, and then a captain of several ships. The fifth edition, corrected.	Swift, Jonathan	1751		['Captain', 'Edition', 'Nation', 'Part', 'Ship', 'Surgeon', 'Travel', 'World']	['Corrected', 'Fifth', 'Four', 'Remote', 'Several']		['Lemuel Gulliver']		['Ship']	
440277	The unfortunate bride: or, the blind lady a beauty.  A novel.  By Mrs. A. Behn.	Behn, Aphra	1700		['Beauty', 'Bride', 'Lady', 'Novel']	['Blind', 'Unfortunate']		['Mrs. A. Behn']			
440278		Behn, Aphra	1700		['Force', 'Imagination', 'Novel', 'Virgin']	['Dumb', 'Written']		['Mrs. Behn']			
440284	The unfortunate happy lady.  A true history.  By Mrs. A. Behn.	Behn, Aphra	1700		['History', 'Lady']	['Happy', 'True', 'Unfortunate']		['Mrs. A. Behn']			
440285	The unhappy mistake: or, the impious vow punish'd.  By Mrs. A. Behn.	Behn, Aphra	1698		['Mistake', 'Vow']	['Impious', "Punish'd", 'Punished', 'Unhappy']		['Mrs. A. Behn']			
440286	The wandring beauty. Or, the lucky fair one. By Mrs. A. Behn.	Behn, Aphra	1700		['Beauty']	['Fair', 'Lucky', 'Wandering', 'Wandring']		['Mrs. A. Behn']			
440287	The theory or system of several new inhabited worlds, lately discover'd and pleasantly describ'd, in five nights conversation with Madam the Marchioness of *****. Written in French by the famous Mons. Fontanelle. Made English by Mrs. Behn.	Behn, Aphra	1700		['Conversation', 'French', 'System', 'Theory', 'World']	["Describ'd", 'Described', 'Discovered', 'Famous', 'Five', 'Inhabited', 'New-inhabited', 'Several', 'Translated', 'Written']		['Madam the Marchioness of *****', 'Mons. Fontanelle', 'Mrs. Behn']			['Lately', 'Newly', 'Pleasantly']
440290	A few days in Athens, being the translation of a Greek manuscript discovered in Herculaneum. By Frances Wright, author of ""views of society and manners in America.""	Wright, Frances,	1822	['Views of society and manners in America']	['Author', 'Day', 'Manner', 'Manuscript', 'Society', 'Translation', 'View']	['Few', 'Greek']	['America', 'Athens', 'Herculaneum']	['Discover', 'Frances Wright']		['Manuscript']	
440291	Abdeker, or, The art of preserving beauty : translated from an Arabic manuscript	Le Camus, Antoine	1754		['Art', 'Beauty', 'Manuscript']	['Arabic']		['Abdeker']	['Preserve', 'Translate']	['Manuscript']	
440293	The prince of Abissinia. A tale. By Samuel Johnson, LL.D. The two volumes complete in one. Volume the first.	Johnson, Samuel	1791		['Prince', 'Tale', 'Volume']	['Complete', 'Two']	['Abissinia']	['Samuel Johnson, LL.D.']			
440294	Adsonville: or marrying out. A narrative tale.		1824		['Tale']	['Narrative']	['Adsonville']		['Marry']		['Out']
440295	Amabel; or, memoirs of a woman of fashion. By Mrs. Hervey, author of The Mourtray family, &c. In four volumes. Vol. I.	Hervey, Elizabeth	1814	['The Mourtray family']	['Author', 'Family', 'Fashion', 'Memoir', 'Volume', 'Woman']	['Four']		['Amabel', 'Mourtray', 'Mrs. Hervey']		['Memoir']	
440296	An antidote to the miseries of human life: in the history of the widow Placid and her daughter Rachael. The first American, from the second London, Edition. 	Corp, Harriet	1808		['Antidote', 'Daughter', 'History', 'Life', 'Misery', 'Widow']	['American', 'First', 'Human', 'Second']	['Rachael', 'Widow Placid']	['London']			
