id	author name	title catalog	pub date
260720	Fielding, Henry	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams : written in imitation of the manner of Cervantes, author of Don Quixote / by Henry Fielding, Esquire ... : in two volumes.	1743
260721	Fielding, Henry	The history of the adventures of Joseph Andrews, and of his friend Mr. Abraham Adams : written in the manner of Cervantes, author of Don Quixote : in two volumes.	1742
260722		The Life and adventures of Mrs. Christian Davies, commonly called Mother Ross : who, in several campaigns under King William and the late Duke of Marlborough, in the quality of a foot soldier and dragoon, gave many signal proofs of an unparallelled courage and personal bravery : taken from her own mouth when a pensioner of Chelsea Hospital, and known to be true by many who were engaged in those great scenes of action.	1740
260724	Campbell, John	The polite correspondence, or, Rational amusement : being a series of letters, philosophical, poetical, historical, critical, amorous, moral, and satyrical : wherein are introduc\\\'d a great variety of instructive and delightful incidents, both in prose and verse ...	1740
260813	Fielding, Henry	The history of Tom Jones, a foundling : In four volumes / by Henry Fielding, Esq.	1749
260829	Aulnoy	The history of Hypolitus, earl of Douglas : with the secret history of Macbeth, king of Scotland : to which is added, The art of love, or   The amours of Count Schlick and a young lady of quality.	1741
260864	Erskine	The travels and adventures of Mademoiselle de Richelieu : cousin to the present duke of that name, who made the tour of Europe dressed in men\\\'s clothes attended by her maid Lucy as her valet de chambre / now done into English from the lady\\\'s own manuscript by the translator of the Memoirs and adventures of the Marques of Bretagne and Duke of Harcourt.	1744
260865	Smollett, Tobias George	The adventures of Roderick Random : in two volumes.	1748
260867	Annesley, James	Memoirs of an unfortunate young nobleman : return\\\'d from a thirteen years slavery in America where he had been sent by the wicked contrivances of his cruel uncle : a story founded on truth and address\\\'d equally to the head and heart.	1743
260902	Collyer, Mary	Felicia to Charlotte : being letters from a young lady in the country to her friend in town, containing a series of the most interesting events interspersed with moral reflections, chiefly tending to prove that the seeds of vitue are implanted in the mind of every reasonable being.	1744
260908	Griffiths, Ralph	Ascanius; or, The young adventurer, a true history. Translated from a manuscript privately handed about at the Court of Versailles. Containing a particular account of all that happen\\\'d to a certain person during his wanderings in the north, from ... August, 1745, to his final escape, on September 19, in the following year. The whole introduced with a more critical and candid history of the rise, progress, and extinction of the late rebellion, than any yet publish\\\'d ...	1746
260913	McCarthy, Charlotte	The fair moralist, or, Love and virtue : a novel  / by Charlotte McCarthy ; to which is added The author\\\'s observations, or, A looking-glass for the fair sex, also several additional poems never before publish\\\'d.	1746
260921	Smollett, Tobias George	The adventures of Roderick Random.	1748
260923		The true anti-Pamela, or, Memoirs of Mr. James Parry, late organist of Ross in Herefordshire : in which are inserted his amours with the celebrated Miss ------ of Monmouthshire / written by himself; interspers\\\'d with many curious and entertaining love-letters which passed between them.	1742
260926	Chansierges	Grecian tales, or, The entertaining adventures of Neoptolemus, son  of Achilles / translated from the French.	1742
260928	Cervantes Saavedra, Miguel de	Persiles and Sigismunda : a celebrated novel : intermix\\\'d with a great variety of delightful histories and entertaining adventures / written in Spanish by Michael de Cervantes Saavadera ... translated into English from the original.	1745
260957	Sedgewick, O	Miscellaneous amusements for the year MDCCXLIV, or, The world turn\\\'d inside out : being reflections on men, manners and opinions, adapted to the present times / by the Author of a late well-receiv\\\'d pamphlet.	1744
260965	Cervantes Saavedra, Miguel de	Two humorous novels : viz. I. A diverting dialogue between Scipio and Bergansa, two dogs belonging to the Hospital of the Resurrection, in the city of Valladolid, giving a account of their lives and various adventures, interspers\\\'d  with their reflexions and sentiments on the lives, characters, humours and employments of the different masters they liv\\\'d with. II. The comical history of Rinconete and Cortadillo / both written by the celebrated author of Don Quixote ; and now first translated from the Spanish original.	1742
260966	Cervantes Saavedra, Miguel de	Two humorous novels : viz. I. A diverting dialogue between Scipio and Bergansa, two dogs belonging to the Hospital of the Resurrection, in the city of Valladolid, giving a account of their lives and various adventures, interspers\\\'d  with their reflexions and sentiments on the lives, characters, humours and employments of the different masters they liv\\\'d with. II. The comical history of Rinconete and Cortadillo / both written by the celebrated author of Don Quixote ; and now first translated from the Spanish original.	1742
260971		The history of John Bull : Part III : containing, among many other curious particulars, a faithful narrative of the most secret and important transactions of the worshipful and ancient family of the Bulls, from August 1, 1714 to June 11, 1727: Publish\\\'d from the manuscripts of that learned and celebrated biographer, the late Sir Humphry Polesworth, author of the first and second parts of this work, publish\\\'d in 1712 / By Nathan Polesworth, Sir Humphry\\\'s nephew and sole executor.	1744
260972		An Authentic copy of the last will and testament of the Reverend Dr. Swift,  Dean of St. Patrick\\\'s, Dublin : To which is added some explanatory notes, by the publisher.	1745
260974	Swift, Jonathan	A tale of a tub : written for the universal improvement of mankind : to which is added, An account of a battle between the antient and modern books in St. James\\\'s Library : also a Discourse concerning the mechanical operation of the spirit in a letter to a friend, a fragment.	1741
260975	Swift, Jonathan	A tale of a tub : written for the universal improvement of mankind : to which is added, An account of a battle between the antient and modern books in St. James\\\'s Library.	1743
260976	Swift, Jonathan	A tale of a tub : written for the universal improvement of mankind : to which is added, An account of a battle between the antient and modern books in St. James\\\'s Library.	1747
260977	Swift, Jonathan	A tale of a tub : written for the universal improvement of mankind : to which is added, An account of a battle between the antient and modern books in St. James\\\'s Library.	1747
260978	Swift, Jonathan	A tale of a tub : written for the universal improvement of mankind : to which is added, An account of a battle between the antient and modern books in St. James\\\'s Library.	1747
260979	Swift, Jonathan	A tale of a tub : written for the universal improvement of mankind : to which is added, An account of a battle between the antient and modern books in St. James\\\'s Library.	1747
260987	Swift, Jonathan	Travels into several remote nations of the world : in four parts / By Lemuel Gulliver first a surgeon, and then a captain of several ships.	1748
260989	Cervantes Saavedra, Miguel de	The life and exploits of the ingenious gentleman Don Quixote de la Mancha / translated from the original Spanish of Miguel Cervantes de Saavedra by Charles Jarvis.	1747
260993	Swift, Jonathan	Miscellanies in prose and verse : Vol. VII by Dr. Swift.	1742
260994	Swift, Jonathan	Miscellanies in four volumes / by Dr. Swift, Dr. Arbuthnot, Mr. Pope, and Mr. Gay.	1742
260995	Swift, Jonathan	Miscellanies in four volumes / by Dr. Swift, Dr. Arbuthnot, Mr. Pope, and Mr. Gay.	1742
260996	Swift, Jonathan	Miscellanies : In four volumes / by Dr. Swift, Dr. Arbuthnot, Mr. Pope, and Mr. Gay.	1747
260997	Swift, Jonathan	Miscellanies : In four volumes / by Dr. Swift, Dr. Arbuthnot, Mr. Pope, and Mr. Gay.	1747
260998	Swift, Jonathan	Miscellanies : In four volumes / by Dr. Swift, Dr. Arbuthnot, Mr. Pope, and Mr. Gay.	1747
260999	Swift, Jonathan	Travels into several remote nations of the world : in four parts / by Lemuel Gulliver, first a surgeon, and then a captain of several ships.	1747
261000	Swift, Jonathan	Travels into several remote nations of the world : in four parts / by Lemuel Gulliver, first a surgeon, and then a captain of several ships.	1747
